pulsar,observation_count,mean_residual,variance_of_deltas,skewness_of_deltas,kurtosis_of_deltas
J0030+0451,19571,-0.2361406883044327,51.91576659593984,0.18594602453902156,59.12474782590172
J0340+4130,11093,0.08922569095797701,119.56656409564135,0.023290528648086534,1.8054501877670455
J0406+3039,2446,0.08373399528109134,17.03468219932899,0.13627204889432118,4.04673918045871
J0437-4715,5830,0.09348600519716305,4.501591861468355,0.08675479877179922,23.91391709505128
J0509+0856,2169,-0.2128814226048674,293.7140586493364,0.1771588970573162,5.01558841961052
J0557+1551,525,-0.0862644210326946,42.33643963667906,0.048972414027225096,-0.03324877296125184
J0605+3757,554,0.20304025003440648,107.57618818349526,-0.059145185094040535,1.6567637735245322
J0610-2100,4885,-0.14659458258260213,171.56308048064375,0.06617156028747635,0.7034852848891431
J0614-3329,1714,0.3835888757794865,79.93448509039693,-0.18055959265543925,5.2573874591594585
J0709+0458,3030,-0.04126495472999728,857.9368803361409,-0.006745105088037508,4.518770657912311
J0613-0200,17124,0.16894557964138737,20.630565793042496,0.07653940349996331,18.898028892750624
J0636+5128,32222,-0.004582956367740158,72.15233908096833,0.00035012796341540956,1.5399822495537623
J0645+5158,10403,0.035738779091074556,27.82015350210068,-0.08291469963648557,3.6254075836690496
J0931-1902,5473,0.258222535895612,170.27531432586233,0.012563046653425735,3.0191431218653606
J0740+6620,13401,0.0010748961204316146,40.37336360612257,0.04283076034120894,4.7527914021003905
J1012-4235,797,-0.06317184324000755,113.18485416426022,0.08607954428899055,1.3100641898465626
J1022+1001,3978,0.09944625639060241,61.601241148787665,-0.20969708945834703,23.338437408808428
J1024-0719,12635,0.09147549427294081,153.52760656767563,0.37118388774262573,35.29802037919994
J1312+0051,1705,0.050455558105265426,179.52850357564859,-0.08028819132426941,1.7425545656198835
J1453+1902,2551,0.19899368786068722,337.456663979803,-0.172341773100494,4.220445566716267
J1455-3330,10818,-0.05578087713917905,349.0415018030813,-0.09158499096507078,9.321985527181825
J1600-3053,19725,0.08877027626280097,8.421858016118795,0.045997915750671615,5.526998520804987
J1630+3734,1815,-0.12402827504698151,42.552916552519505,0.04134317953082973,2.647377526594234
