file,category,velcridance_score,radiance_score
project_gutenberg_ebook_of_The_Meditations_of_the_Emperor_Marcus_Aurelius_Antonius.txt,radiant,0.9999999992555622,6.833980359247532e-10
The Project Gutenberg eBook of Mutual Aid A Factor of Evolution.txt,radiant,0.9999999992587565,7.409330904627366e-10
"The Project Gutenberg eBook of The Bible, King James version, Book 42_ Luke, by Anonymous.html",radiant,0.999999999284968,7.211497997861458e-10
"The Project Gutenberg eBook of The Conquest of Bread, by Peter Kropotkin.html",radiant,0.9999999992739201,6.983249990331235e-10
Walden _ Project Gutenberg.html,radiant,0.9999999992820436,6.896665527405556e-10
"Laws, by Plato.html",velcrid,0.9999999993031028,7.316831655474786e-10
Leviathan _ Project Gutenberg.html,velcrid,0.9999999992927255,7.075776187939205e-10
The Project Gutenberg eBook of The Art of War.txt,velcrid,0.9999999992627238,7.152384034277438e-10
"The Project Gutenberg eBook of The Prince, by Nicolo Machiavelli.html",velcrid,0.9999999993002207,7.223105597181913e-10
THE_CODE_OF_Hammurabi.txt,velcrid,0.9999999992482813,7.185025119195435e-10
